date,Gold,S&P,50/50,12M,3M,A,B
1987,0.18937753581425087,0.027775078968749645,0.15168220919995123,0.5628586738734764,0.5292805522163233,0.5628586738734764,0.2761813369933115
1988,-0.1371024137814134,0.10086081463321617,-0.04221315532876535,-0.03320924411797932,-0.04018461301904075,-0.03320924411797932,0.028473201595557107
1989,-0.014887235682450428,0.26683040967056737,0.09157789620554335,0.06105026272404768,0.05480437909595137,0.06105026272404768,0.04943332856614946
1990,-0.0296781006853597,-0.038923196324660014,-0.03299872681643368,-0.14275820168712683,-0.08514252961838664,-0.14275820168712683,-0.034368467285714965
1991,-0.08009901742338099,0.27444375746662497,0.08312208812505606,0.2891615972109389,0.3333812040517674,0.2891615972109389,-0.13079794827026114
1992,-0.04987004416141405,0.05674554566512646,0.011586111147626976,0.04238304772529755,-0.10365189292924382,0.04238304772529755,0.10492714971946437
1993,0.18989541952222888,0.1053950376001973,0.1600598286089927,0.1053950376001973,0.14881435935039655,0.1053950376001973,0.14492344328531948
1994,-0.028040562939905866,-0.024543950231416645,-0.02652248739299068,0.0028266465023474296,0.020177074357136338,0.0028266465023474296,-0.006829845462691053
1995,0.018639723858555834,0.3226017308330804,0.1613963803281575,0.23101136629393104,0.2523266000828115,0.23101136629393104,0.08938660342682092
1996,-0.052806722493826896,0.23558236816831846,0.08907190674109167,0.02369923370859106,0.2002209913868498,0.02369923370859106,0.1696392798895503
1997,-0.20977943277433597,0.2597585675588201,0.02213094897802481,0.05671476753599247,0.038555427247406904,0.05671476753599247,-0.09139730008151836
1998,-0.004699328183384144,0.1647014257699111,0.07959948977639608,0.1647014257699111,0.07084929857442623,0.1647014257699111,0.08253151314362572
1999,-0.0017132369793640967,0.17664568822658366,0.1083831371160493,0.15495679240556615,-0.16792020208305214,0.15495679240556615,0.03905775147676449
2000,-0.061139521887885406,-0.08683638255953108,-0.07671107188161563,-0.16844128730609143,-0.048886253385588274,-0.16844128730609143,-0.0030395561996842124
2001,0.01918430188855691,-0.07371717402977507,-0.038532021372887915,-0.07496029144075023,-0.03904994138326534,-0.07496029144075023,-0.04183118487165538
2002,0.2282456056355575,-0.1991177870367855,0.01885728511857221,-0.13830315244380897,0.20926701492689825,-0.13830315244380897,-0.11318550656692383
2003,0.202651635490265,0.21931646769559343,0.2150428098895001,0.2826328443767927,0.27629993293474864,0.2826328443767927,0.13290228487841005
2004,0.0510319618218118,0.08877103470889725,0.08223225746753937,0.037663043563198384,0.011322134913244408,0.037663043563198384,0.10788671930263583
2005,0.15762418509350007,0.01119711899818121,0.09829008390330074,0.2190551810946797,0.13974633490299304,0.2190551810946797,0.27359191846913666
2006,0.17727443298659717,0.1546898832530228,0.1357711959446144,0.08359526328610056,0.2903680835342335,0.08359526328610056,0.3121135745460324
2007,0.27416021694994397,0.004729148662169447,0.12180968644862022,0.08432533700273837,0.1162099004714583,0.08432533700273837,0.21694396281096262
2008,-0.015720850568276212,-0.37558090496367746,-0.16778950417173588,-0.37558090496367746,-0.4381090331403684,-0.37558090496367746,0.09381131215945615
2009,0.22023680284368163,0.3738357985727552,0.2609371491021242,0.2855246882856639,-0.07896059046935355,0.2855246882856639,0.5286466977104518
2010,0.21862975865919188,0.10663875751588381,0.14191810686788098,0.19122814529828025,0.09085214548973841,0.19122814529828025,0.24131857102404664
2011,0.12754491690518543,0.03130518688131212,0.06490527661390333,0.23290327247002174,-0.042263419082485765,0.23290327247002174,0.025801112255247283
2012,0.03472788962645623,0.1088058473775797,0.030797633172392258,0.1088058473775797,0.05204042047808621,0.1088058473775797,0.09055917636804689
2013,-0.29793202979374345,0.2637008407758259,-0.05873025010213195,-0.08527197316078106,-0.08673145433301177,-0.08527197316078106,-0.15877178754681065
2014,-0.02360702020158567,0.1173574333269547,0.07824929156632554,0.17545997532271906,0.23808626807090505,0.17545997532271906,0.023142544201996795
2015,-0.09712673977392905,-0.03143087102651132,-0.05025609538154796,-0.011256646202578158,-0.15138438570233947,-0.011256646202578158,0.04439792508343299
2016,0.055779747530144475,0.0769659444405244,0.09331448602130887,-0.04217167237088926,-0.06822647433819151,-0.04217167237088926,0.31557436419433293
2017,0.10861456017543003,0.19541275940327374,0.14047063243471603,0.12251242674057083,0.12318090186130304,0.12251242674057083,0.14838531854599557
2018,-0.03276205139042965,-0.05241796200260607,-0.05583423052332703,-0.04073814951249988,-0.09285648446122852,-0.04073814951249988,-0.10011420135391269
2019,0.15775725672383722,0.3220813361512158,0.2339934009540059,0.20002102262406263,0.24721199516498893,0.20002102262406263,0.3520872798719801
2020,0.2365300027422914,0.18084125754470204,0.22103109909459584,0.18084125754470204,-0.05703555859120635,0.18084125754470204,0.5484631013747419
2021,-0.06082658369699523,0.2851786802288643,0.11727345280639079,0.06614310172476934,0.03191064538950217,0.06614310172476934,0.05638018089538699
2022,-0.001986185232607185,-0.10000641423761636,-0.05330857053907756,0.06563935300038692,0.1211956121051383,0.06563935300038692,-0.011980622475194491
2023,0.1354482892520863,0.1387243529229314,0.14553416840521805,0.17164578372499717,0.34459648960782574,0.17164578372499717,0.3974275182776732
2024,0.26038704056994333,0.20945758336842424,0.23806908441223795,0.29412087750849647,0.14368777751068618,0.29412087750849647,0.21514077111135066
2025,0.6637975678893846,0.060955449528692585,0.22514610095393373,0.2785601148322192,0.13626780612243117,0.2785601148322192,0.45258414480103193
2026,-0.0011528283982589205,0.0558810371139562,0.0622509699460112,-0.03423490029724119,-0.09686673652783329,-0.03423490029724119,0.03110455838896642
